Calibration metrics:
x292: Cal. error 0.2500, RMSE 0.0913, R2 0.7381
x293: Cal. error 0.2500, RMSE 0.0927, R2 0.7347
x294: Cal. error 0.2430, RMSE 0.0895, R2 0.7444
x295: Cal. error 0.2320, RMSE 0.0852, R2 0.7647
x296: Cal. error 0.2100, RMSE 0.0836, R2 0.7788
x297: Cal. error 0.1830, RMSE 0.0819, R2 0.7932
x298: Cal. error 0.1980, RMSE 0.0799, R2 0.8019
x299: Cal. error 0.1900, RMSE 0.0761, R2 0.7981
x300: Cal. error 0.1960, RMSE 0.0782, R2 0.7900
x301: Cal. error 0.2060, RMSE 0.0800, R2 0.7836
x302: Cal. error 0.2140, RMSE 0.0806, R2 0.7831
x303: Cal. error 0.1720, RMSE 0.0816, R2 0.7848
x304: Cal. error 0.1640, RMSE 0.0833, R2 0.7815
x305: Cal. error 0.1280, RMSE 0.0847, R2 0.7749
x306: Cal. error 0.0930, RMSE 0.0900, R2 0.7626
x307: Cal. error 0.0370, RMSE 0.0981, R2 0.7383
x308: Cal. error 0.0350, RMSE 0.1062, R2 0.7170
x309: Cal. error 0.0240, RMSE 0.1022, R2 0.6945
x310: Cal. error 0.0150, RMSE 0.1002, R2 0.6857
x311: Cal. error 0.0200, RMSE 0.1073, R2 0.6811
x312: Cal. error 0.0380, RMSE 0.1087, R2 0.7002
x313: Cal. error 0.0530, RMSE 0.1014, R2 0.7005
x314: Cal. error 0.0340, RMSE 0.1006, R2 0.6845
x315: Cal. error 0.0340, RMSE 0.1060, R2 0.6500
x316: Cal. error 0.0290, RMSE 0.1150, R2 0.5987
x317: Cal. error 0.0180, RMSE 0.1213, R2 0.5430
x318: Cal. error 0.0210, RMSE 0.1196, R2 0.4745
x319: Cal. error 0.0260, RMSE 0.1134, R2 0.5069
x320: Cal. error 0.0700, RMSE 0.1080, R2 0.5680
x321: Cal. error 0.0450, RMSE 0.1103, R2 0.6014
x322: Cal. error 0.0300, RMSE 0.1197, R2 0.6156
x323: Cal. error 0.0370, RMSE 0.1232, R2 0.6368
x324: Cal. error 0.0560, RMSE 0.1212, R2 0.6518
x325: Cal. error 0.0880, RMSE 0.1183, R2 0.6736
x326: Cal. error 0.1150, RMSE 0.1140, R2 0.6910
x327: Cal. error 0.1790, RMSE 0.1083, R2 0.7061
x328: Cal. error 0.1760, RMSE 0.1086, R2 0.7161
x329: Cal. error 0.2070, RMSE 0.1106, R2 0.7124
